f,u,n,d,a,$,COPY	f,u,n,d,a
k,n,u,m,b,y,k,a,$,V,SG,1,PST+RMT	n,g,a,k,n,u,m,b,y,k,a
k,h,u,m,b,u,l,a,$,V,SG,1,PRS	n,g,i,y,a,k,h,u,m,b,u,l,a
k,e,u,m,l,e,l,a,$,COPY	k,e,u,m,l,e,l,a
k,e,u,m,l,e,l,a,$,V,SG,1,FUT	n,g,i,y,o,k,e,u,m,l,e,l,a
k,y,j,q,y,t,i,a,$,COPY	k,y,j,q,y,t,i,a
k,y,j,q,y,t,i,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,y,j,q,y,t,i,a
t,h,s,o,z,a,$,COPY	t,h,s,o,z,a
t,h,s,o,z,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,t,h,s,o,z,a
t,w,a,d,m,a,$,COPY	t,w,a,d,m,a
t,w,a,d,m,a,$,V,SG,1,PST+RCT	n,g,i,t,w,a,d,m,e
t,h,a,m,p,a,$,COPY	t,h,a,m,p,a
t,h,a,m,p,a,$,V,SG,1,PST+RMT	n,g,a,t,h,a,m,p,a
t,e,t,n,g,a,$,COPY	t,e,t,n,g,a
t,e,t,n,g,a,$,V,SG,1,PRS	n,g,i,t,e,t,n,g,a
t,h,d,n,a,a,$,COPY	t,h,d,n,a,a
t,h,d,n,a,a,$,V,SG,1,FUT	n,g,i,y,o,t,h,d,n,a,a
m,e,m,a,$,V,SG,1,PRS	n,g,i,m,e,m,a
m,q,m,s,$,COPY	m,q,m,s
m,q,m,s,$,V,SG,1,PST+RMT	n,g,a,m,q,m,s
m,w,m,q,$,COPY	m,w,m,q
m,w,m,q,$,V,SG,1,FUT+IMMED	n,g,i,z,o,m,w,m,q
m,o,m,a,$,COPY	m,o,m,a
m,o,m,a,$,V,SG,1,PST+RCT	n,g,i,m,o,m,e
m,e,m,a,$,V,SG,1,FUT	n,g,i,y,o,m,e,m,a
e,q,o,b,a,$,COPY	e,q,o,b,a
e,q,o,b,a,$,V,SG,1,PRS	n,g,i,y,a,e,q,o,b,a
n,e,o,b,a,$,V,SG,1,PST+RMT	n,g,a,n,e,o,b,a
n,q,c,b,b,$,COPY	n,q,c,b,b
n,q,c,b,b,$,V,SG,1,FUT	n,g,i,y,o,n,q,c,b,b
n,q,j,e,a,$,COPY	n,q,j,e,a
n,q,j,e,a,$,V,SG,1,PST+RCT	n,g,i,n,q,j,e,e
w,q,o,b,b,$,COPY	w,q,o,b,b
w,q,o,b,b,$,V,SG,1,FUT+IMMED	n,g,i,z,o,w,q,o,b,b
m,h,g,$,COPY	m,h,g
m,h,g,$,V,SG,1,FUT+IMMED	n,g,i,z,o,m,h,g
s,m,o,$,COPY	s,m,o
s,m,o,$,V,SG,1,PRS	n,g,i,y,a,s,m,o
j,y,l,$,COPY	j,y,l
j,y,l,$,V,SG,1,FUT	n,g,i,y,o,j,y,l
a,h,z,$,COPY	a,h,z
a,h,z,$,V,SG,1,PST+RMT	n,g,a,a,h,z
t,h,o,g,h,a,$,COPY	t,h,o,g,h,a
t,h,o,g,h,a,$,V,SG,1,PRS	n,g,i,t,h,o,g,h,a
t,y,h,t,f,a,$,COPY	t,y,h,t,f,a
t,y,h,t,f,a,$,V,SG,1,PST+RCT	n,g,i,t,y,h,t,f,e
t,h,z,t,h,a,$,COPY	t,h,z,t,h,a
t,h,z,t,h,a,$,V,SG,1,PST+RMT	n,g,a,t,h,z,t,h,a
t,h,a,t,h,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,t,h,a,t,h,a
t,h,a,c,h,a,$,COPY	t,h,a,c,h,a
t,h,a,c,h,a,$,V,SG,1,FUT	n,g,i,y,o,t,h,a,c,h,a
l,t,n,d,a,$,COPY	l,t,n,d,a
l,t,n,d,a,$,V,SG,1,PST+RCT	n,g,i,l,t,n,d,e
l,i,i,g,a,$,COPY	l,i,i,g,a
l,i,i,g,a,$,V,SG,1,PRS	n,g,i,y,a,l,i,i,g,a
l,l,n,d,a,$,COPY	l,l,n,d,a
l,l,n,d,a,$,V,SG,1,PST+RMT	n,g,a,l,l,n,d,a
l,i,n,d,b,$,COPY	l,i,n,d,b
l,i,n,d,b,$,V,SG,1,FUT+IMMED	n,g,i,z,o,l,i,n,d,b
q,i,f,c,a,$,COPY	q,i,f,c,a
q,i,f,c,a,$,V,SG,1,FUT	n,g,i,y,o,q,i,f,c,a
g,l,a,l,a,$,COPY	g,l,a,l,a
g,l,a,l,a,$,V,SG,1,PST+RMT	n,g,a,g,l,a,l,a
d,a,a,z,a,$,COPY	d,a,a,z,a
d,a,a,z,a,$,V,SG,1,PST+RCT	n,g,i,d,a,a,z,e
d,l,m,d,a,$,COPY	d,l,m,d,a
d,l,m,d,a,$,V,SG,1,FUT	n,g,i,y,o,d,l,m,d,a
d,l,a,m,s,$,COPY	d,l,a,m,s
d,l,a,m,s,$,V,SG,1,FUT+IMMED	n,g,i,z,o,d,l,a,m,s
n,w,o,l,v,$,COPY	n,w,o,l,v
n,w,o,l,v,$,V,SG,1,PRS	n,g,i,n,w,o,l,v
t,u,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,t,u,l,a
c,d,m,g,$,COPY	c,d,m,g
c,d,m,g,$,V,SG,1,PST+RMT	n,g,a,c,d,m,g
a,s,l,e,$,COPY	a,s,l,e
a,s,l,e,$,V,SG,1,PRS	n,g,i,a,s,l,e
c,u,l,a,$,V,SG,1,FUT	n,g,i,y,o,c,u,l,a
c,u,l,a,$,V,SG,1,PST+RCT	n,g,i,c,u,l,e
s,h,j,l,a,$,COPY	s,h,j,l,a
s,h,j,l,a,$,V,SG,1,PRS	n,g,i,y,a,s,h,j,l,a
u,h,a,l,a,$,COPY	u,h,a,l,a
u,h,a,l,a,$,V,SG,1,PST+RMT	n,g,a,u,h,a,l,a
w,n,a,q,a,$,COPY	w,n,a,q,a
w,n,a,q,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,w,n,a,q,a
k,h,o,q,a,$,COPY	k,h,o,q,a
k,h,o,q,a,$,V,SG,1,PST+RCT	n,g,i,k,h,o,q,e
e,y,t,l,a,$,COPY	e,y,t,l,a
e,y,t,l,a,$,V,SG,1,FUT	n,g,i,y,o,e,y,t,l,a
f,u,n,a,$,V,SG,1,PST+RCT	n,g,i,f,u,n,e
f,t,n,y,$,COPY	f,t,n,y
f,t,n,y,$,V,SG,1,PRS	n,g,i,f,t,n,y
f,h,n,a,$,COPY	f,h,n,a
f,h,n,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,f,h,n,a
f,l,l,d,$,COPY	f,l,l,d
f,l,l,d,$,V,SG,1,FUT	n,g,i,y,o,f,l,l,d
v,u,d,a,$,V,SG,1,PST+RMT	n,g,a,v,u,d,a
c,a,b,b,n,m,a,$,COPY	c,a,b,b,n,m,a
c,a,b,b,n,m,a,$,V,SG,1,PRS	n,g,i,c,a,b,b,n,m,a
c,m,w,a,m,v,a,$,COPY	c,m,w,a,m,v,a
c,m,w,a,m,v,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,c,m,w,a,m,v,a
c,w,b,c,n,g,a,$,COPY	c,w,b,c,n,g,a
c,w,b,c,n,g,a,$,V,SG,1,PST+RCT	n,g,i,c,w,b,c,n,g,e
c,a,b,b,n,y,a,$,COPY	c,a,b,b,n,y,a
c,a,b,b,n,y,a,$,V,SG,1,PST+RMT	n,g,a,c,a,b,b,n,y,a
c,a,v,a,n,q,a,$,COPY	c,a,v,a,n,q,a
c,a,v,a,n,q,a,$,V,SG,1,FUT	n,g,i,y,o,c,a,v,a,n,q,a
d,l,a,l,a, ,p,w,a,p,s,i,$,COPY	d,l,a,l,a, ,p,w,a,p,s,i
d,l,a,l,a, ,p,w,a,p,s,i,$,V,SG,1,PST+RCT	n,g,i,d,l,a,l,e, ,p,w,a,p,s,i
h,l,y,j,a, ,p,h,a,n,p,i,$,COPY	h,l,y,j,a, ,p,h,a,n,p,i
h,l,y,j,a, ,p,h,a,n,p,i,$,V,SG,1,FUT	n,g,i,y,o,h,l,y,j,a, ,p,h,a,n,p,i
d,l,n,g,s, ,p,h,p,j,s,i,$,COPY	d,l,n,g,s, ,p,h,p,j,s,i
d,l,n,g,s, ,p,h,p,j,s,i,$,V,SG,1,PRS	n,g,i,d,l,n,g,s, ,p,h,p,j,s,i
l,l,a,l,a, ,p,d,o,w,s,i,$,COPY	l,l,a,l,a, ,p,d,o,w,s,i
l,l,a,l,a, ,p,d,o,w,s,i,$,V,SG,1,FUT+IMMED	n,g,i,z,o,l,l,a,l,a, ,p,d,o,w,s,i
h,d,u,w,a, ,p,h,a,s,s,i,$,COPY	h,d,u,w,a, ,p,h,a,s,s,i
h,d,u,w,a, ,p,h,a,s,s,i,$,V,SG,1,PST+RMT	n,g,a,h,d,u,w,a, ,p,h,a,s,s,i
t,k,z,c,a,$,COPY	t,k,z,c,a
t,k,z,c,a,$,V,SG,1,FUT	n,g,i,y,o,t,k,z,c,a
t,h,c,l,u,$,COPY	t,h,c,l,u
t,h,c,l,u,$,V,SG,1,FUT+IMMED	n,g,i,z,o,t,h,c,l,u
p,h,o,l,f,$,COPY	p,h,o,l,f
p,h,o,l,f,$,V,SG,1,PST+RMT	n,g,a,p,h,o,l,f
t,h,a,y,d,$,COPY	t,h,a,y,d
t,h,a,y,d,$,V,SG,1,PRS	n,g,i,t,h,a,y,d
z,a,s,l,a,$,COPY	z,a,s,l,a
z,a,s,l,a,$,V,SG,1,PST+RCT	n,g,i,z,a,s,l,e
l,a,l,e,l,a,$,V,SG,1,PST+RMT	n,g,a,l,a,l,e,l,a
l,a,n,i,l,a,$,COPY	l,a,n,i,l,a
l,a,n,i,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,l,a,n,i,l,a
l,a,l,e,m,a,$,COPY	l,a,l,e,m,a
l,a,l,e,m,a,$,V,SG,1,PRS	n,g,i,l,a,l,e,m,a
l,a,l,e,l,a,$,V,SG,1,FUT	n,g,i,y,o,l,a,l,e,l,a
t,i,l,n,l,a,$,COPY	t,i,l,n,l,a
t,i,l,n,l,a,$,V,SG,1,PST+RCT	n,g,i,t,i,l,n,l,e
t,h,u,c,e,$,COPY	t,h,u,c,e
t,h,u,c,e,$,V,SG,1,FUT	n,g,i,y,o,t,h,u,c,e
t,h,p,m,a,$,COPY	t,h,p,m,a
t,h,p,m,a,$,V,SG,1,PST+RCT	n,g,i,t,h,p,m,e
t,i,a,m,w,$,COPY	t,i,a,m,w
t,i,a,m,w,$,V,SG,1,PST+RMT	n,g,a,t,i,a,m,w
t,h,u,m,a,$,V,SG,1,PRS	n,g,i,t,h,u,m,a
t,n,u,m,n,$,COPY	t,n,u,m,n
t,n,u,m,n,$,V,SG,1,FUT+IMMED	n,g,i,z,o,t,n,u,m,n
o,c,e,n,a,$,COPY	o,c,e,n,a
o,c,e,n,a,$,V,SG,1,PST+RCT	n,g,i,o,c,e,n,e
t,g,f,t,y,$,COPY	t,g,f,t,y
t,g,f,t,y,$,V,SG,1,FUT+IMMED	n,g,i,z,o,t,g,f,t,y
e,g,z,y,a,$,COPY	e,g,z,y,a
e,g,z,y,a,$,V,SG,1,PST+RMT	n,g,a,e,g,z,y,a
n,g,e,n,q,$,COPY	n,g,e,n,q
n,g,e,n,q,$,V,SG,1,FUT	n,g,i,y,o,n,g,e,n,q
n,g,e,n,n,$,COPY	n,g,e,n,n
n,g,e,n,n,$,V,SG,1,PRS	n,g,i,n,g,e,n,n
n,c,q,m,v,$,COPY	n,c,q,m,v
n,c,q,m,v,$,V,SG,1,FUT+IMMED	n,g,i,z,o,n,c,q,m,v
q,h,d,e,a,$,COPY	q,h,d,e,a
q,h,d,e,a,$,V,SG,1,PST+RCT	n,g,i,q,h,d,e,e
b,q,c,k,a,$,COPY	b,q,c,k,a
b,q,c,k,a,$,V,SG,1,PRS	n,g,i,b,q,c,k,a
b,h,t,k,g,$,COPY	b,h,t,k,g
b,h,t,k,g,$,V,SG,1,PST+RMT	n,g,a,b,h,t,k,g
b,h,e,k,a,$,V,SG,1,FUT	n,g,i,y,o,b,h,e,k,a
t,h,e,n,e,i,n,a,$,COPY	t,h,e,n,e,i,n,a
t,h,e,n,e,i,n,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,t,h,e,n,e,i,n,a
t,h,j,n,g,i,c,a,$,COPY	t,h,j,n,g,i,c,a
t,h,j,n,g,i,c,a,$,V,SG,1,PRS	n,g,i,t,h,j,n,g,i,c,a
t,e,e,n,n,a,l,a,$,COPY	t,e,e,n,n,a,l,a
t,e,e,n,n,a,l,a,$,V,SG,1,FUT	n,g,i,y,o,t,e,e,n,n,a,l,a
t,h,v,u,m,i,s,a,$,COPY	t,h,v,u,m,i,s,a
t,h,v,u,m,i,s,a,$,V,SG,1,PST+RCT	n,g,i,t,h,v,u,m,i,s,e
t,h,e,m,g,i,s,a,$,COPY	t,h,e,m,g,i,s,a
t,h,e,m,g,i,s,a,$,V,SG,1,PST+RMT	n,g,a,t,h,e,m,g,i,s,a
k,a,l,b,$,COPY	k,a,l,b
k,a,l,b,$,V,SG,1,FUT	n,g,i,y,o,k,a,l,b
s,a,l,w,$,COPY	s,a,l,w
s,a,l,w,$,V,SG,1,PST+RMT	n,g,a,s,a,l,w
c,a,l,e,$,COPY	c,a,l,e
c,a,l,e,$,V,SG,1,FUT+IMMED	n,g,i,z,o,c,a,l,e
j,a,l,a,$,V,SG,1,PRS	n,g,i,j,a,l,a
e,a,c,a,$,COPY	e,a,c,a
e,a,c,a,$,V,SG,1,PST+RCT	n,g,i,e,a,c,e
c,t,a,$,COPY	c,t,a
c,t,a,$,V,SG,1,PST+RMT	n,g,a,c,t,a
n,h,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,w,a,n,h,a
n,b,a,$,COPY	n,b,a
n,b,a,$,V,SG,1,PRS	n,g,i,n,b,a
v,f,c,$,COPY	v,f,c
v,f,c,$,V,SG,1,FUT	n,g,i,y,o,k,w,a,v,f,c
s,e,l,e,p,z,a,$,COPY	s,e,l,e,p,z,a
s,e,l,e,p,z,a,$,V,SG,1,FUT	n,g,i,y,o,s,e,l,e,p,z,a
s,p,u,b,n,u,a,$,COPY	s,p,u,b,n,u,a
s,p,u,b,n,u,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,s,p,u,b,n,u,a
s,k,b,e,n,m,a,$,COPY	s,k,b,e,n,m,a
s,k,b,e,n,m,a,$,V,SG,1,PST+RMT	n,g,a,s,k,b,e,n,m,a
s,g,b,e,j,z,a,$,COPY	s,g,b,e,j,z,a
s,g,b,e,j,z,a,$,V,SG,1,PRS	n,g,i,s,g,b,e,j,z,a
s,e,s,v,n,z,a,$,COPY	s,e,s,v,n,z,a
s,e,s,v,n,z,a,$,V,SG,1,PST+RCT	n,g,i,s,e,s,v,n,z,e
i,i,s,b,$,COPY	i,i,s,b
i,i,s,b,$,V,SG,1,PRS	n,g,i,i,i,s,b
z,i,s,a,$,V,SG,1,FUT	n,g,i,y,o,k,w,a,z,i,s,a
z,i,s,y,$,COPY	z,i,s,y
z,i,s,y,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,w,a,z,i,s,y
z,i,j,d,$,COPY	z,i,j,d
z,i,j,d,$,V,SG,1,PST+RMT	n,g,a,z,i,j,d
y,i,i,a,$,COPY	y,i,i,a
y,i,i,a,$,V,SG,1,PST+RCT	n,g,i,y,a,y,i,i,e
n,e,a,d,a,$,COPY	n,e,a,d,a
n,e,a,d,a,$,V,SG,1,PRS	n,g,e,n,e,a,d,a
n,h,e,e,a,$,COPY	n,h,e,e,a
n,h,e,e,a,$,V,SG,1,FUT	n,g,i,y,o,k,w,e,n,h,e,e,a
n,a,e,k,a,$,COPY	n,a,e,k,a
n,a,e,k,a,$,V,SG,1,PST+RCT	n,g,e,n,a,e,k,e
n,e,e,h,a,$,COPY	n,e,e,h,a
n,e,e,h,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,w,e,n,e,e,h,a
n,v,e,k,a,$,COPY	n,v,e,k,a
n,v,e,k,a,$,V,SG,1,PST+RMT	n,g,a,n,v,e,k,a
k,h,u,l,u,n,a,$,COPY	k,h,u,l,u,n,a
k,h,u,l,u,n,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,h,u,l,u,n,a
k,q,u,l,z,m,a,$,COPY	k,q,u,l,z,m,a
k,q,u,l,z,m,a,$,V,SG,1,PST+RCT	n,g,i,k,q,u,l,z,m,e
k,h,e,l,e,w,a,$,COPY	k,h,e,l,e,w,a
k,h,e,l,e,w,a,$,V,SG,1,FUT	n,g,i,y,o,k,h,e,l,e,w,a
k,h,u,g,u,i,a,$,COPY	k,h,u,g,u,i,a
k,h,u,g,u,i,a,$,V,SG,1,PRS	n,g,i,k,h,u,g,u,i,a
k,v,u,a,d,m,a,$,COPY	k,v,u,a,d,m,a
k,v,u,a,d,m,a,$,V,SG,1,PST+RMT	n,g,a,k,v,u,a,d,m,a
m,h,k,e,k,a,$,COPY	m,h,k,e,k,a
m,h,k,e,k,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,w,a,m,h,k,e,k,a
m,u,k,e,c,a,$,COPY	m,u,k,e,c,a
m,u,k,e,c,a,$,V,SG,1,PRS	n,g,i,m,u,k,e,c,a
m,u,k,p,w,a,$,COPY	m,u,k,p,w,a
m,u,k,p,w,a,$,V,SG,1,FUT	n,g,i,y,o,k,w,a,m,u,k,p,w,a
m,s,u,e,y,a,$,COPY	m,s,u,e,y,a
m,s,u,e,y,a,$,V,SG,1,PST+RCT	n,g,i,y,a,m,s,u,e,y,e
m,u,i,e,s,a,$,COPY	m,u,i,e,s,a
m,u,i,e,s,a,$,V,SG,1,PST+RMT	n,g,a,m,u,i,e,s,a
s,v,a,z,w,l,a,$,COPY	s,v,a,z,w,l,a
s,v,a,z,w,l,a,$,V,SG,1,FUT	n,g,i,y,o,s,v,a,z,w,l,a
s,h,a,z,a,w,a,$,COPY	s,h,a,z,a,w,a
s,h,a,z,a,w,a,$,V,SG,1,PRS	n,g,i,s,h,a,z,a,w,a
s,h,e,e,e,l,a,$,COPY	s,h,e,e,e,l,a
s,h,e,e,e,l,a,$,V,SG,1,PST+RCT	n,g,i,s,h,e,e,e,l,e
s,o,i,y,w,j,a,$,COPY	s,o,i,y,w,j,a
s,o,i,y,w,j,a,$,V,SG,1,PST+RMT	n,g,a,s,o,i,y,w,j,a
s,a,a,y,e,l,a,$,COPY	s,a,a,y,e,l,a
s,a,a,y,e,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,s,a,a,y,e,l,a
n,a,p,z,$,COPY	n,a,p,z
n,a,p,z,$,V,SG,1,PRS	n,g,i,n,a,p,z
v,o,k,a,$,COPY	v,o,k,a
v,o,k,a,$,V,SG,1,PST+RCT	n,g,i,v,o,k,e
n,a,n,p,$,COPY	n,a,n,p
n,a,n,p,$,V,SG,1,FUT	n,g,i,y,o,n,a,n,p
n,u,z,a,$,COPY	n,u,z,a
n,u,z,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,n,u,z,a
n,j,k,a,$,COPY	n,j,k,a
n,j,k,a,$,V,SG,1,PST+RMT	n,g,a,n,j,k,a
q,b,l,a,$,V,SG,1,PST+RCT	n,g,i,q,b,l,e
q,a,l,a,$,V,SG,1,FUT	n,g,i,y,o,q,a,l,a
d,c,l,q,$,COPY	d,c,l,q
d,c,l,q,$,V,SG,1,PRS	n,g,i,d,c,l,q
q,a,l,a,$,V,SG,1,PST+RMT	n,g,a,q,a,l,a
q,a,m,j,$,COPY	q,a,m,j
q,a,m,j,$,V,SG,1,FUT+IMMED	n,g,i,z,o,q,a,m,j
f,a,f,v,$,COPY	f,a,f,v
f,a,f,v,$,V,SG,1,PRS	n,g,i,f,a,f,v
f,a,h,a,$,COPY	f,a,h,a
f,a,h,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,f,a,h,a
y,a,k,a,$,COPY	y,a,k,a
y,a,k,a,$,V,SG,1,PST+RCT	n,g,i,y,a,k,e
f,a,k,l,$,V,SG,1,PST+RMT	n,g,a,f,a,k,l
f,a,k,k,$,COPY	f,a,k,k
f,a,k,k,$,V,SG,1,FUT	n,g,i,y,o,f,a,k,k
h,g,e,n,a,$,COPY	h,g,e,n,a
h,g,e,n,a,$,V,SG,1,PST+RCT	n,g,i,h,g,e,n,e
j,l,e,a,a,$,COPY	j,l,e,a,a
j,l,e,a,a,$,V,SG,1,PST+RMT	n,g,a,j,l,e,a,a
h,l,e,w,k,$,COPY	h,l,e,w,k
h,l,e,w,k,$,V,SG,1,FUT	n,g,i,y,o,h,l,e,w,k
h,b,e,k,a,$,COPY	h,b,e,k,a
h,b,e,k,a,$,V,SG,1,PRS	n,g,i,y,a,h,b,e,k,a
s,w,e,k,k,$,COPY	s,w,e,k,k
s,w,e,k,k,$,V,SG,1,FUT+IMMED	n,g,i,z,o,s,w,e,k,k
q,e,k,i,$,COPY	q,e,k,i
q,e,k,i,$,V,SG,1,PST+RMT	n,g,a,q,e,k,i
q,e,k,a,$,COPY	q,e,k,a
q,e,k,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,q,e,k,a
q,e,d,v,$,V,SG,1,FUT	n,g,i,y,o,q,e,d,v
b,n,d,a,$,COPY	b,n,d,a
b,n,d,a,$,V,SG,1,PRS	n,g,i,b,n,d,a
f,a,d,a,$,COPY	f,a,d,a
f,a,d,a,$,V,SG,1,PST+RCT	n,g,i,f,a,d,e
b,t,i,l,a,$,COPY	b,t,i,l,a
b,t,i,l,a,$,V,SG,1,PST+RMT	n,g,a,b,t,i,l,a
p,b,i,l,a,$,COPY	p,b,i,l,a
p,b,i,l,a,$,V,SG,1,PST+RCT	n,g,i,p,b,i,l,e
p,q,i,l,a,$,COPY	p,q,i,l,a
p,q,i,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,p,q,i,l,a
p,h,c,a,a,$,COPY	p,h,c,a,a
p,h,c,a,a,$,V,SG,1,FUT	n,g,i,y,o,p,h,c,a,a
p,m,i,l,a,$,COPY	p,m,i,l,a
p,m,i,l,a,$,V,SG,1,PRS	n,g,i,y,a,p,m,i,l,a
j,h,l,a,$,COPY	j,h,l,a
j,h,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,j,h,l,a
b,a,a,n,$,COPY	b,a,a,n
b,a,a,n,$,V,SG,1,FUT	n,g,i,y,o,b,a,a,n
s,a,l,o,$,COPY	s,a,l,o
s,a,l,o,$,V,SG,1,PST+RMT	n,g,a,s,a,l,o
t,a,l,m,$,COPY	t,a,l,m
t,a,l,m,$,V,SG,1,PRS	n,g,i,y,a,t,a,l,m
i,z,l,a,$,COPY	i,z,l,a
i,z,l,a,$,V,SG,1,PST+RCT	n,g,i,i,z,l,e
g,i,j,w,m,a,$,COPY	g,i,j,w,m,a
g,i,j,w,m,a,$,V,SG,1,PST+RCT	n,g,i,g,i,j,w,m,e
g,e,b,i,e,a,$,COPY	g,e,b,i,e,a
g,e,b,i,e,a,$,V,SG,1,PRS	n,g,i,y,a,g,e,b,i,e,a
g,i,h,i,m,p,$,COPY	g,i,h,i,m,p
g,i,h,i,m,p,$,V,SG,1,FUT+IMMED	n,g,i,z,o,g,i,h,i,m,p
g,i,j,i,m,a,$,V,SG,1,PST+RMT	n,g,a,g,i,j,i,m,a
g,d,j,i,z,a,$,COPY	g,d,j,i,z,a
g,d,j,i,z,a,$,V,SG,1,FUT	n,g,i,y,o,g,d,j,i,z,a
b,g,a,l,o,$,COPY	b,g,a,l,o
b,g,a,l,o,$,V,SG,1,FUT+IMMED	n,g,i,z,o,b,g,a,l,o
s,h,a,l,a,$,COPY	s,h,a,l,a
s,h,a,l,a,$,V,SG,1,PST+RCT	n,g,i,s,h,a,l,e
b,i,a,f,t,$,COPY	b,i,a,f,t
b,i,a,f,t,$,V,SG,1,PRS	n,g,i,b,i,a,f,t
b,h,a,l,n,$,COPY	b,h,a,l,n
b,h,a,l,n,$,V,SG,1,PST+RMT	n,g,a,b,h,a,l,n
b,j,u,m,d,$,COPY	b,j,u,m,d
b,j,u,m,d,$,V,SG,1,FUT	n,g,i,y,o,b,j,u,m,d
d,l,a,$,V,SG,1,FUT	n,g,i,y,o,k,u,d,l,a
k,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,u,k,l,a
d,i,w,$,COPY	d,i,w
d,i,w,$,V,SG,1,PRS	n,g,i,d,i,w
z,p,a,$,COPY	z,p,a
z,p,a,$,V,SG,1,PST+RMT	n,g,a,z,p,a
p,h,t,f,u,m,j,l,a,$,COPY	p,h,t,f,u,m,j,l,a
p,h,t,f,u,m,j,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,p,h,t,f,u,m,j,l,a
p,h,z,e,u,h,u,l,a,$,COPY	p,h,z,e,u,h,u,l,a
p,h,z,e,u,h,u,l,a,$,V,SG,1,PRS	n,g,i,y,a,p,h,z,e,u,h,u,l,a
p,h,t,s,u,m,u,l,a,$,COPY	p,h,t,s,u,m,u,l,a
p,h,t,s,u,m,u,l,a,$,V,SG,1,PST+RCT	n,g,i,p,h,t,s,u,m,u,l,e
p,j,v,j,u,m,w,b,a,$,COPY	p,j,v,j,u,m,w,b,a
p,j,v,j,u,m,w,b,a,$,V,SG,1,PST+RMT	n,g,a,p,j,v,j,u,m,w,b,a
p,h,e,f,u,w,w,l,a,$,COPY	p,h,e,f,u,w,w,l,a
p,h,e,f,u,w,w,l,a,$,V,SG,1,FUT	n,g,i,y,o,p,h,e,f,u,w,w,l,a
h,h,j,d,a,$,COPY	h,h,j,d,a
h,h,j,d,a,$,V,SG,1,PST+RMT	n,g,a,h,h,j,d,a
p,h,u,z,n,$,COPY	p,h,u,z,n
p,h,u,z,n,$,V,SG,1,PRS	n,g,i,p,h,u,z,n
p,h,u,z,g,$,COPY	p,h,u,z,g
p,h,u,z,g,$,V,SG,1,FUT+IMMED	n,g,i,z,o,p,h,u,z,g
p,h,u,g,a,$,COPY	p,h,u,g,a
p,h,u,g,a,$,V,SG,1,FUT	n,g,i,y,o,p,h,u,g,a
e,h,d,i,a,$,COPY	e,h,d,i,a
e,h,d,i,a,$,V,SG,1,PST+RCT	n,g,i,e,h,d,i,e
p,h,w,p,t,a,$,COPY	p,h,w,p,t,a
p,h,w,p,t,a,$,V,SG,1,PST+RCT	n,g,i,p,h,w,p,t,e
t,h,y,y,c,a,$,COPY	t,h,y,y,c,a
t,h,y,y,c,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,t,h,y,y,c,a
t,h,i,n,b,a,$,COPY	t,h,i,n,b,a
t,h,i,n,b,a,$,V,SG,1,FUT	n,g,i,y,o,t,h,i,n,b,a
t,v,i,n,i,a,$,COPY	t,v,i,n,i,a
t,v,i,n,i,a,$,V,SG,1,PST+RMT	n,g,a,t,v,i,n,i,a
t,p,p,p,t,a,$,COPY	t,p,p,p,t,a
t,p,p,p,t,a,$,V,SG,1,PRS	n,g,i,t,p,p,p,t,a
l,f,i,s,e,l,q,l,w,a,$,COPY	l,f,i,s,e,l,q,l,w,a
l,f,i,s,e,l,q,l,w,a,$,V,SG,1,PST+RCT	n,g,i,l,f,i,s,e,l,q,l,w,e
l,a,u,l,e,s,t,l,s,a,$,COPY	l,a,u,l,e,s,t,l,s,a
l,a,u,l,e,s,t,l,s,a,$,V,SG,1,PRS	n,g,i,l,a,u,l,e,s,t,l,s,a
l,n,y,l,j,k,i,l,w,a,$,COPY	l,n,y,l,j,k,i,l,w,a
l,n,y,l,j,k,i,l,w,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,l,n,y,l,j,k,i,l,w,a
l,h,h,u,e,k,e,l,s,a,$,COPY	l,h,h,u,e,k,e,l,s,a
