s,e,k,a,$,COPY	s,e,k,a
s,e,k,k,$,V,PROG,SG,3,PRS	a,r,i,k,u,s,e,k,k
s,v,g,z,$,COPY	s,v,g,z
s,v,g,z,$,V,PL,1,PRS	t,i,n,o,s,v,g,z
y,e,g,a,$,COPY	y,e,g,a
y,e,g,a,$,V,PL,3,PRS	v,a,n,o,y,e,g,a
s,o,i,m,$,COPY	s,o,i,m
s,o,i,m,$,V,SG,2,FUT	u,c,h,a,s,o,i,m
h,e,f,d,$,COPY	h,e,f,d
h,e,f,d,$,V,PL,3,PST	v,a,k,a,h,e,f,d
r,e,k,g,$,COPY	r,e,k,g
r,e,k,g,$,V,PL,2,PRS	m,u,n,o,r,e,k,g
v,e,k,d,$,COPY	v,e,k,d
v,e,k,d,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,v,e,k,d
g,m,g,a,$,COPY	g,m,g,a
g,m,g,a,$,V,PL,2,FUT	m,u,c,h,a,g,m,g,a
m,s,k,r,$,COPY	m,s,k,r
m,s,k,r,$,V,SG,2,HOD	w,a,m,s,k,r
s,e,f,z,$,COPY	s,e,f,z
s,e,f,z,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,s,e,f,z
s,e,k,o,$,COPY	s,e,k,o
s,e,k,o,$,V,SG,1,FUT	n,d,i,c,h,a,s,e,k,o
t,e,k,a,$,COPY	t,e,k,a
t,e,k,a,$,V,SG,3,PRS	a,n,o,t,e,k,a
s,e,k,g,$,COPY	s,e,k,g
s,e,k,g,$,V,SG,3,FUT	a,c,h,a,s,e,k,g
s,v,h,a,$,COPY	s,v,h,a
s,v,h,a,$,V,PL,2,HOD	m,a,s,v,h,a
s,e,k,t,$,COPY	s,e,k,t
s,e,k,t,$,V,PL,1,PST	t,a,k,a,s,e,k,t
s,e,k,a,$,V,SG,3,HOD	a,s,e,k,a
p,n,o,a,$,COPY	p,n,o,a
p,n,o,a,$,V,SG,1,PST	n,d,a,k,a,p,n,o,a
p,e,f,a,$,COPY	p,e,f,a
p,e,f,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,p,e,f,a
s,e,g,a,$,COPY	s,e,g,a
s,e,g,a,$,V,SG,2,PRS	u,n,o,s,e,g,a
o,z,z,r,$,COPY	o,z,z,r
o,z,z,r,$,V,SG,3,PST	a,k,a,o,z,z,r
s,e,k,w,$,COPY	s,e,k,w
s,e,k,w,$,V,PL,2,PST	m,a,k,a,s,e,k,w
s,s,k,a,$,COPY	s,s,k,a
s,s,k,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,s,s,k,a
u,u,k,d,$,COPY	u,u,k,d
u,u,k,d,$,V,PL,3,HOD	v,a,u,u,k,d
s,d,k,a,$,COPY	s,d,k,a
s,d,k,a,$,V,PL,1,HOD	t,a,s,d,k,a
d,o,n,h,b,$,COPY	d,o,n,h,b
d,o,n,h,b,$,V,PL,3,PST	v,a,k,a,d,o,n,h,b
d,e,n,o,y,$,COPY	d,e,n,o,y
d,e,n,o,y,$,V,PL,3,PRS	v,a,n,o,d,e,n,o,y
d,o,z,h,k,$,COPY	d,o,z,h,k
d,o,z,h,k,$,V,PL,2,FUT	m,u,c,h,a,d,o,z,h,k
o,o,n,h,a,$,V,SG,3,PRS	a,n,o,o,o,n,h,a
d,w,u,z,a,$,COPY	d,w,u,z,a
d,w,u,z,a,$,V,PL,1,PST	t,a,k,a,d,w,u,z,a
d,c,a,p,a,$,COPY	d,c,a,p,a
d,c,a,p,a,$,V,SG,1,HOD	n,d,a,d,c,a,p,a
d,o,n,z,a,$,COPY	d,o,n,z,a
d,o,n,z,a,$,V,PL,3,HOD	v,a,d,o,n,z,a
d,v,n,g,a,$,COPY	d,v,n,g,a
d,v,n,g,a,$,V,SG,1,PRS	n,d,i,n,o,d,v,n,g,a
f,z,f,h,n,$,COPY	f,z,f,h,n
f,z,f,h,n,$,V,PL,1,HOD	t,a,f,z,f,h,n
o,o,y,o,v,$,COPY	o,o,y,o,v
o,o,y,o,v,$,V,PL,1,FUT	t,i,c,h,a,o,o,y,o,v
i,m,n,h,a,$,COPY	i,m,n,h,a
i,m,n,h,a,$,V,PL,2,PST	m,a,k,a,i,m,n,h,a
d,o,n,i,a,$,COPY	d,o,n,i,a
d,o,n,i,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,d,o,n,i,a
d,z,y,t,a,$,COPY	d,z,y,t,a
d,z,y,t,a,$,V,PL,1,PRS	t,i,n,o,d,z,y,t,a
s,r,o,r,a,$,COPY	s,r,o,r,a
s,r,o,r,a,$,V,SG,3,FUT	a,c,h,a,s,r,o,r,a
b,o,a,r,b,$,COPY	b,o,a,r,b
b,o,a,r,b,$,V,SG,2,PRS	u,n,o,b,o,a,r,b
e,o,w,f,a,$,COPY	e,o,w,f,a
e,o,w,f,a,$,V,SG,1,PST	n,d,a,k,a,e,o,w,f,a
d,v,w,k,a,$,COPY	d,v,w,k,a
d,v,w,k,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,d,v,w,k,a
y,d,b,h,a,$,COPY	y,d,b,h,a
y,d,b,h,a,$,V,PL,2,HOD	m,a,y,d,b,h,a
d,o,h,a,a,$,COPY	d,o,h,a,a
d,o,h,a,a,$,V,SG,2,HOD	w,a,d,o,h,a,a
d,a,n,h,a,$,COPY	d,a,n,h,a
d,a,n,h,a,$,V,SG,1,FUT	n,d,i,c,h,a,d,a,n,h,a
d,m,n,h,n,$,COPY	d,m,n,h,n
d,m,n,h,n,$,V,PROG,SG,2,PRS	u,r,i,k,u,d,m,n,h,n
d,w,n,h,a,$,COPY	d,w,n,h,a
d,w,n,h,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,d,w,n,h,a
d,n,p,h,d,$,COPY	d,n,p,h,d
d,n,p,h,d,$,V,SG,3,HOD	a,d,n,p,h,d
d,f,z,h,b,$,COPY	d,f,z,h,b
d,f,z,h,b,$,V,SG,3,PST	a,k,a,d,f,z,h,b
s,o,u,r,k,$,COPY	s,o,u,r,k
s,o,u,r,k,$,V,SG,2,PST	w,a,k,a,s,o,u,r,k
d,t,a,h,a,$,COPY	d,t,a,h,a
d,t,a,h,a,$,V,PL,3,FUT	v,a,c,h,a,d,t,a,h,a
d,k,n,b,a,$,COPY	d,k,n,b,a
d,k,n,b,a,$,V,SG,2,FUT	u,c,h,a,d,k,n,b,a
a,o,r,u,a,$,COPY	a,o,r,u,a
a,o,r,u,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,a,o,r,u,a
d,o,n,h,a,$,V,PL,2,PRS	m,u,n,o,d,o,n,h,a
d,v,u,k,a,$,COPY	d,v,u,k,a
d,v,u,k,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,d,v,u,k,a
e,r,f,k,a,$,COPY	e,r,f,k,a
e,r,f,k,a,$,V,SG,1,HOD	n,d,a,e,r,f,k,a
w,o,f,y,m,$,COPY	w,o,f,y,m
w,o,f,y,m,$,V,SG,2,PRS	u,n,o,w,o,f,y,m
h,k,s,y,a,$,COPY	h,k,s,y,a
h,k,s,y,a,$,V,PL,3,FUT	v,a,c,h,a,h,k,s,y,a
z,w,c,y,m,$,COPY	z,w,c,y,m
z,w,c,y,m,$,V,PL,1,FUT	t,i,c,h,a,z,w,c,y,m
h,i,a,v,r,$,COPY	h,i,a,v,r
h,i,a,v,r,$,V,PL,1,HOD	t,a,h,i,a,v,r
h,r,a,y,c,$,COPY	h,r,a,y,c
h,r,a,y,c,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,h,r,a,y,c
u,s,z,w,p,$,COPY	u,s,z,w,p
u,s,z,w,p,$,V,PL,2,FUT	m,u,c,h,a,u,s,z,w,p
u,f,s,b,b,$,COPY	u,f,s,b,b
u,f,s,b,b,$,V,SG,1,FUT	n,d,i,c,h,a,u,f,s,b,b
y,r,a,y,a,$,COPY	y,r,a,y,a
y,r,a,y,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,y,r,a,y,a
u,k,a,k,a,$,COPY	u,k,a,k,a
u,k,a,k,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,u,k,a,k,a
o,r,h,y,g,$,COPY	o,r,h,y,g
o,r,h,y,g,$,V,SG,3,HOD	a,o,r,h,y,g
d,m,a,y,m,$,COPY	d,m,a,y,m
d,m,a,y,m,$,V,SG,3,PST	a,k,a,d,m,a,y,m
u,y,a,y,a,$,COPY	u,y,a,y,a
u,y,a,y,a,$,V,SG,3,FUT	a,c,h,a,u,y,a,y,a
h,i,a,y,a,$,COPY	h,i,a,y,a
h,i,a,y,a,$,V,PL,2,PRS	m,u,n,o,h,i,a,y,a
o,c,a,p,d,$,COPY	o,c,a,p,d
o,c,a,p,d,$,V,SG,1,PST	n,d,a,k,a,o,c,a,p,d
g,t,g,t,u,$,COPY	g,t,g,t,u
g,t,g,t,u,$,V,PL,2,PST	m,a,k,a,g,t,g,t,u
a,g,a,y,b,$,COPY	a,g,a,y,b
a,g,a,y,b,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,a,g,a,y,b
u,r,t,y,c,$,COPY	u,r,t,y,c
u,r,t,y,c,$,V,SG,2,PST	w,a,k,a,u,r,t,y,c
u,e,c,y,a,$,COPY	u,e,c,y,a
u,e,c,y,a,$,V,SG,2,HOD	w,a,u,e,c,y,a
t,r,k,w,a,$,COPY	t,r,k,w,a
t,r,k,w,a,$,V,SG,2,FUT	u,c,h,a,t,r,k,w,a
u,u,g,s,a,$,COPY	u,u,g,s,a
u,u,g,s,a,$,V,PL,3,HOD	v,a,u,u,g,s,a
o,r,n,y,a,$,COPY	o,r,n,y,a
o,r,n,y,a,$,V,PL,3,PRS	v,a,n,o,o,r,n,y,a
o,r,u,f,a,$,COPY	o,r,u,f,a
o,r,u,f,a,$,V,PL,3,PST	v,a,k,a,o,r,u,f,a
u,r,i,m,a,$,COPY	u,r,i,m,a
u,r,i,m,a,$,V,SG,3,PRS	a,n,o,u,r,i,m,a
u,z,n,y,a,$,COPY	u,z,n,y,a
u,z,n,y,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,u,z,n,y,a
u,y,a,y,a,$,V,PL,2,HOD	m,a,u,y,a,y,a
g,r,u,y,d,$,COPY	g,r,u,y,d
g,r,u,y,d,$,V,PROG,SG,3,PRS	a,r,i,k,u,g,r,u,y,d
i,s,a,y,a,$,COPY	i,s,a,y,a
i,s,a,y,a,$,V,PL,1,PST	t,a,k,a,i,s,a,y,a
n,i,w,o,h,$,COPY	n,i,w,o,h
n,i,w,o,h,$,V,PL,1,PRS	t,i,n,o,n,i,w,o,h
t,p,d,y,b,$,COPY	t,p,d,y,b
t,p,d,y,b,$,V,SG,1,PRS	n,d,i,n,o,t,p,d,y,b
p,e,d,z,a,$,V,SG,2,PRS	u,n,o,p,e,d,z,a
c,e,d,z,v,$,COPY	c,e,d,z,v
c,e,d,z,v,$,V,SG,2,FUT	u,c,h,a,c,e,d,z,v
v,e,d,p,a,$,COPY	v,e,d,p,a
v,e,d,p,a,$,V,PL,1,HOD	t,a,v,e,d,p,a
w,e,a,z,o,$,COPY	w,e,a,z,o
w,e,a,z,o,$,V,PL,1,FUT	t,i,c,h,a,w,e,a,z,o
p,s,d,w,a,$,COPY	p,s,d,w,a
p,s,d,w,a,$,V,SG,1,HOD	n,d,a,p,s,d,w,a
c,e,f,z,a,$,COPY	c,e,f,z,a
c,e,f,z,a,$,V,SG,1,PRS	n,d,i,n,o,c,e,f,z,a
p,e,o,z,a,$,V,PL,1,PRS	t,i,n,o,p,e,o,z,a
p,h,d,w,a,$,COPY	p,h,d,w,a
p,h,d,w,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,p,h,d,w,a
p,e,n,z,e,$,COPY	p,e,n,z,e
p,e,n,z,e,$,V,PL,1,PST	t,a,k,a,p,e,n,z,e
r,c,d,z,o,$,COPY	r,c,d,z,o
r,c,d,z,o,$,V,PL,3,FUT	v,a,c,h,a,r,c,d,z,o
p,e,t,y,a,$,COPY	p,e,t,y,a
p,e,t,y,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,p,e,t,y,a
o,e,h,z,b,$,COPY	o,e,h,z,b
o,e,h,z,b,$,V,SG,3,HOD	a,o,e,h,z,b
p,h,s,z,a,$,COPY	p,h,s,z,a
p,h,s,z,a,$,V,PL,3,HOD	v,a,p,h,s,z,a
t,v,s,z,s,$,COPY	t,v,s,z,s
t,v,s,z,s,$,V,SG,2,PST	w,a,k,a,t,v,s,z,s
p,e,y,r,a,$,COPY	p,e,y,r,a
p,e,y,r,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,p,e,y,r,a
p,e,d,z,c,$,COPY	p,e,d,z,c
p,e,d,z,c,$,V,SG,3,PST	a,k,a,p,e,d,z,c
u,a,d,z,a,$,COPY	u,a,d,z,a
u,a,d,z,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,u,a,d,z,a
p,u,d,s,a,$,COPY	p,u,d,s,a
p,u,d,s,a,$,V,PL,2,PRS	m,u,n,o,p,u,d,s,a
r,e,r,z,c,$,COPY	r,e,r,z,c
r,e,r,z,c,$,V,SG,2,HOD	w,a,r,e,r,z,c
p,e,c,k,a,$,COPY	p,e,c,k,a
p,e,c,k,a,$,V,PL,2,HOD	m,a,p,e,c,k,a
p,n,t,z,i,$,COPY	p,n,t,z,i
p,n,t,z,i,$,V,PL,3,PST	v,a,k,a,p,n,t,z,i
n,g,d,z,a,$,COPY	n,g,d,z,a
n,g,d,z,a,$,V,PL,3,PRS	v,a,n,o,n,g,d,z,a
p,e,a,t,d,$,COPY	p,e,a,t,d
p,e,a,t,d,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,p,e,a,t,d
n,e,t,r,p,$,COPY	n,e,t,r,p
n,e,t,r,p,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,n,e,t,r,p
w,n,d,t,r,$,COPY	w,n,d,t,r
w,n,d,t,r,$,V,PL,2,PST	m,a,k,a,w,n,d,t,r
g,e,c,u,m,$,COPY	g,e,c,u,m
g,e,c,u,m,$,V,PL,2,FUT	m,u,c,h,a,g,e,c,u,m
z,e,d,t,b,$,COPY	z,e,d,t,b
z,e,d,t,b,$,V,SG,3,PRS	a,n,o,z,e,d,t,b
d,i,d,z,a,$,COPY	d,i,d,z,a
d,i,d,z,a,$,V,SG,1,FUT	n,d,i,c,h,a,d,i,d,z,a
k,e,d,z,a,$,COPY	k,e,d,z,a
k,e,d,z,a,$,V,SG,1,PST	n,d,a,k,a,k,e,d,z,a
e,e,d,z,r,$,COPY	e,e,d,z,r
e,e,d,z,r,$,V,SG,3,FUT	a,c,h,a,e,e,d,z,r
t,v,r,i,s,a,$,COPY	t,v,r,i,s,a
t,v,r,i,s,a,$,V,PL,3,PRS	v,a,n,o,t,v,r,i,s,a
t,a,f,h,s,a,$,COPY	t,a,f,h,s,a
t,a,f,h,s,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,t,a,f,h,s,a
t,r,r,i,k,a,$,COPY	t,r,r,i,k,a
t,r,r,i,k,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,t,r,r,i,k,a
t,a,a,o,p,a,$,COPY	t,a,a,o,p,a
t,a,a,o,p,a,$,V,PL,3,HOD	v,a,t,a,a,o,p,a
t,d,f,d,s,a,$,COPY	t,d,f,d,s,a
t,d,f,d,s,a,$,V,PL,1,FUT	t,i,c,h,a,t,d,f,d,s,a
t,a,r,w,s,a,$,COPY	t,a,r,w,s,a
t,a,r,w,s,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,t,a,r,w,s,a
t,d,a,i,t,a,$,COPY	t,d,a,i,t,a
t,d,a,i,t,a,$,V,SG,1,PRS	n,d,i,n,o,t,d,a,i,t,a
t,a,u,i,w,a,$,COPY	t,a,u,i,w,a
t,a,u,i,w,a,$,V,PL,3,FUT	v,a,c,h,a,t,a,u,i,w,a
t,p,r,i,t,a,$,COPY	t,p,r,i,t,a
t,p,r,i,t,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,t,p,r,i,t,a
t,a,r,u,s,a,$,COPY	t,a,r,u,s,a
t,a,r,u,s,a,$,V,SG,2,PST	w,a,k,a,t,a,r,u,s,a
t,a,m,i,g,a,$,COPY	t,a,m,i,g,a
t,a,m,i,g,a,$,V,PL,1,HOD	t,a,t,a,m,i,g,a
t,y,i,i,d,a,$,COPY	t,y,i,i,d,a
t,y,i,i,d,a,$,V,SG,2,HOD	w,a,t,y,i,i,d,a
t,a,u,h,i,a,$,COPY	t,a,u,h,i,a
t,a,u,h,i,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,t,a,u,h,i,a
t,v,y,i,s,a,$,COPY	t,v,y,i,s,a
t,v,y,i,s,a,$,V,PL,2,HOD	m,a,t,v,y,i,s,a
t,e,r,n,s,a,$,COPY	t,e,r,n,s,a
t,e,r,n,s,a,$,V,SG,3,FUT	a,c,h,a,t,e,r,n,s,a
t,t,b,i,w,a,$,COPY	t,t,b,i,w,a
t,t,b,i,w,a,$,V,SG,2,FUT	u,c,h,a,t,t,b,i,w,a
t,a,p,o,w,a,$,COPY	t,a,p,o,w,a
t,a,p,o,w,a,$,V,SG,2,PRS	u,n,o,t,a,p,o,w,a
t,a,r,i,s,a,$,V,SG,3,PST	a,k,a,t,a,r,i,s,a
t,e,a,w,s,a,$,COPY	t,e,a,w,s,a
t,e,a,w,s,a,$,V,SG,1,FUT	n,d,i,c,h,a,t,e,a,w,s,a
t,a,r,i,s,a,$,V,SG,3,HOD	a,t,a,r,i,s,a
t,a,h,b,s,a,$,COPY	t,a,h,b,s,a
t,a,h,b,s,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,t,a,h,b,s,a
t,a,n,c,o,a,$,COPY	t,a,n,c,o,a
t,a,n,c,o,a,$,V,PL,1,PST	t,a,k,a,t,a,n,c,o,a
t,h,r,f,s,a,$,COPY	t,h,r,f,s,a
t,h,r,f,s,a,$,V,PL,2,FUT	m,u,c,h,a,t,h,r,f,s,a
t,e,y,i,s,a,$,COPY	t,e,y,i,s,a
t,e,y,i,s,a,$,V,PL,2,PST	m,a,k,a,t,e,y,i,s,a
t,t,h,i,p,a,$,COPY	t,t,h,i,p,a
t,t,h,i,p,a,$,V,PL,3,PST	v,a,k,a,t,t,h,i,p,a
t,o,r,b,s,a,$,COPY	t,o,r,b,s,a
t,o,r,b,s,a,$,V,PL,2,PRS	m,u,n,o,t,o,r,b,s,a
t,g,d,i,e,a,$,COPY	t,g,d,i,e,a
t,g,d,i,e,a,$,V,SG,1,HOD	n,d,a,t,g,d,i,e,a
t,a,v,i,t,a,$,COPY	t,a,v,i,t,a
t,a,v,i,t,a,$,V,SG,1,PST	n,d,a,k,a,t,a,v,i,t,a
t,a,n,u,d,a,$,COPY	t,a,n,u,d,a
t,a,n,u,d,a,$,V,SG,3,PRS	a,n,o,t,a,n,u,d,a
t,o,u,i,c,a,$,COPY	t,o,u,i,c,a
t,o,u,i,c,a,$,V,PL,1,PRS	t,i,n,o,t,o,u,i,c,a
r,a,n,g,a,n,i,r,a,$,COPY	r,a,n,g,a,n,i,r,a
r,a,n,g,a,n,i,r,a,$,V,SG,3,FUT	a,c,h,a,r,a,n,g,a,n,i,r,a
r,a,d,m,i,h,i,r,a,$,COPY	r,a,d,m,i,h,i,r,a
r,a,d,m,i,h,i,r,a,$,V,PL,1,FUT	t,i,c,h,a,r,a,d,m,i,h,i,r,a
r,n,a,g,a,z,i,i,a,$,COPY	r,n,a,g,a,z,i,i,a
r,n,a,g,a,z,i,i,a,$,V,PL,2,PST	m,a,k,a,r,n,a,g,a,z,i,i,a
r,g,u,h,k,n,d,a,a,$,COPY	r,g,u,h,k,n,d,a,a
r,g,u,h,k,n,d,a,a,$,V,SG,2,PST	w,a,k,a,r,g,u,h,k,n,d,a,a
r,a,n,g,t,r,i,r,a,$,COPY	r,a,n,g,t,r,i,r,a
r,a,n,g,t,r,i,r,a,$,V,SG,3,PST	a,k,a,r,a,n,g,t,r,i,r,a
r,a,n,g,w,r,i,v,a,$,COPY	r,a,n,g,w,r,i,v,a
r,a,n,g,w,r,i,v,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,r,a,n,g,w,r,i,v,a
r,a,o,g,p,a,i,v,a,$,COPY	r,a,o,g,p,a,i,v,a
r,a,o,g,p,a,i,v,a,$,V,PL,3,FUT	v,a,c,h,a,r,a,o,g,p,a,i,v,a
r,n,n,c,a,r,g,r,a,$,COPY	r,n,n,c,a,r,g,r,a
r,n,n,c,a,r,g,r,a,$,V,SG,1,PST	n,d,a,k,a,r,n,n,c,a,r,g,r,a
r,a,a,r,t,r,a,r,a,$,COPY	r,a,a,r,t,r,a,r,a
r,a,a,r,t,r,a,r,a,$,V,SG,1,FUT	n,d,i,c,h,a,r,a,a,r,t,r,a,r,a
r,a,k,g,a,r,o,r,a,$,COPY	r,a,k,g,a,r,o,r,a
r,a,k,g,a,r,o,r,a,$,V,PL,2,HOD	m,a,r,a,k,g,a,r,o,r,a
r,y,n,z,a,b,g,r,a,$,COPY	r,y,n,z,a,b,g,r,a
r,y,n,z,a,b,g,r,a,$,V,SG,2,HOD	w,a,r,y,n,z,a,b,g,r,a
r,m,n,g,d,g,z,r,a,$,COPY	r,m,n,g,d,g,z,r,a
r,m,n,g,d,g,z,r,a,$,V,PL,1,PRS	t,i,n,o,r,m,n,g,d,g,z,r,a
r,a,n,m,a,w,i,r,a,$,COPY	r,a,n,m,a,w,i,r,a
r,a,n,m,a,w,i,r,a,$,V,PL,1,HOD	t,a,r,a,n,m,a,w,i,r,a
r,a,e,g,g,r,e,r,a,$,COPY	r,a,e,g,g,r,e,r,a
r,a,e,g,g,r,e,r,a,$,V,PL,3,HOD	v,a,r,a,e,g,g,r,e,r,a
r,u,u,g,s,p,i,y,a,$,COPY	r,u,u,g,s,p,i,y,a
r,u,u,g,s,p,i,y,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,r,u,u,g,s,p,i,y,a
r,i,n,g,w,r,i,r,a,$,COPY	r,i,n,g,w,r,i,r,a
r,i,n,g,w,r,i,r,a,$,V,SG,2,FUT	u,c,h,a,r,i,n,g,w,r,i,r,a
r,a,o,g,a,r,i,i,a,$,COPY	r,a,o,g,a,r,i,i,a
r,a,o,g,a,r,i,i,a,$,V,PL,2,FUT	m,u,c,h,a,r,a,o,g,a,r,i,i,a
r,a,e,k,f,v,g,b,a,$,COPY	r,a,e,k,f,v,g,b,a
r,a,e,k,f,v,g,b,a,$,V,SG,3,HOD	a,r,a,e,k,f,v,g,b,a
r,a,n,g,a,r,z,r,a,$,COPY	r,a,n,g,a,r,z,r,a
r,a,n,g,a,r,z,r,a,$,V,SG,2,PRS	u,n,o,r,a,n,g,a,r,z,r,a
r,y,f,b,a,r,t,f,a,$,COPY	r,y,f,b,a,r,t,f,a
r,y,f,b,a,r,t,f,a,$,V,PL,2,PRS	m,u,n,o,r,y,f,b,a,r,t,f,a
r,k,n,g,c,y,i,a,a,$,COPY	r,k,n,g,c,y,i,a,a
r,k,n,g,c,y,i,a,a,$,V,PL,1,PST	t,a,k,a,r,k,n,g,c,y,i,a,a
r,a,b,o,z,o,z,y,a,$,COPY	r,a,b,o,z,o,z,y,a
r,a,b,o,z,o,z,y,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,r,a,b,o,z,o,z,y,a
r,a,n,i,a,z,z,k,a,$,COPY	r,a,n,i,a,z,z,k,a
r,a,n,i,a,z,z,k,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,r,a,n,i,a,z,z,k,a
r,a,n,t,a,r,n,r,a,$,COPY	r,a,n,t,a,r,n,r,a
r,a,n,t,a,r,n,r,a,$,V,SG,1,PRS	n,d,i,n,o,r,a,n,t,a,r,n,r,a
r,k,n,g,d,u,c,r,a,$,COPY	r,k,n,g,d,u,c,r,a
r,k,n,g,d,u,c,r,a,$,V,SG,3,PRS	a,n,o,r,k,n,g,d,u,c,r,a
r,w,g,i,b,r,i,r,a,$,COPY	r,w,g,i,b,r,i,r,a
r,w,g,i,b,r,i,r,a,$,V,PL,3,PRS	v,a,n,o,r,w,g,i,b,r,i,r,a
r,a,n,g,a,k,i,w,a,$,COPY	r,a,n,g,a,k,i,w,a
r,a,n,g,a,k,i,w,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,r,a,n,g,a,k,i,w,a
r,a,n,g,p,r,i,a,a,$,COPY	r,a,n,g,p,r,i,a,a
r,a,n,g,p,r,i,a,a,$,V,SG,1,HOD	n,d,a,r,a,n,g,p,r,i,a,a
r,a,n,w,p,r,i,n,a,$,COPY	r,a,n,w,p,r,i,n,a
r,a,n,w,p,r,i,n,a,$,V,PL,3,PST	v,a,k,a,r,a,n,w,p,r,i,n,a
r,a,i,g,a,m,i,f,a,$,COPY	r,a,i,g,a,m,i,f,a
r,a,i,g,a,m,i,f,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,r,a,i,g,a,m,i,f,a
m,u,u,a,$,COPY	m,u,u,a
m,u,u,a,$,V,PL,3,FUT	v,a,c,h,a,m,u,u,a
y,u,k,a,$,COPY	y,u,k,a
y,u,k,a,$,V,SG,2,HOD	w,a,y,u,k,a
w,u,k,v,$,COPY	w,u,k,v
w,u,k,v,$,V,SG,1,PRS	n,d,i,n,o,w,u,k,v
m,v,y,a,$,COPY	m,v,y,a
m,v,y,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,m,v,y,a
y,u,k,a,$,V,PL,2,PRS	m,u,n,o,y,u,k,a
m,u,r,a,$,COPY	m,u,r,a
m,u,r,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,m,u,r,a
m,u,v,a,$,COPY	m,u,v,a
m,u,v,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,m,u,v,a
p,u,k,t,$,COPY	p,u,k,t
p,u,k,t,$,V,SG,2,PST	w,a,k,a,p,u,k,t
m,e,k,a,$,COPY	m,e,k,a
m,e,k,a,$,V,SG,2,PRS	u,n,o,m,e,k,a
m,u,k,a,$,V,SG,3,HOD	a,m,u,k,a
c,k,k,a,$,COPY	c,k,k,a
c,k,k,a,$,V,SG,1,FUT	n,d,i,c,h,a,c,k,k,a
n,u,n,a,$,V,SG,3,PST	a,k,a,n,u,n,a
b,u,r,a,$,V,SG,2,FUT	u,c,h,a,b,u,r,a
m,u,k,s,$,COPY	m,u,k,s
m,u,k,s,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,m,u,k,s
m,u,k,e,$,COPY	m,u,k,e
m,u,k,e,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,m,u,k,e
h,u,y,a,$,COPY	h,u,y,a
h,u,y,a,$,V,PL,1,PRS	t,i,n,o,h,u,y,a
y,c,t,r,$,COPY	y,c,t,r
y,c,t,r,$,V,PROG,SG,2,PRS	u,r,i,k,u,y,c,t,r
z,u,k,v,$,COPY	z,u,k,v
z,u,k,v,$,V,SG,1,PST	n,d,a,k,a,z,u,k,v
m,u,k,a,$,V,PL,3,PRS	v,a,n,o,m,u,k,a
m,u,k,f,$,COPY	m,u,k,f
m,u,k,f,$,V,PL,1,HOD	t,a,m,u,k,f
w,u,o,a,$,COPY	w,u,o,a
w,u,o,a,$,V,PL,2,HOD	m,a,w,u,o,a
m,u,c,n,$,COPY	m,u,c,n
m,u,c,n,$,V,SG,3,FUT	a,c,h,a,m,u,c,n
z,h,f,i,$,COPY	z,h,f,i
z,h,f,i,$,V,SG,3,PRS	a,n,o,z,h,f,i
b,n,z,a,$,COPY	b,n,z,a
b,n,z,a,$,V,PL,1,PST	t,a,k,a,b,n,z,a
i,h,y,a,$,COPY	i,h,y,a
i,h,y,a,$,V,PL,2,PST	m,a,k,a,i,h,y,a
m,u,s,a,$,COPY	m,u,s,a
